epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0723,1.35632,1.4305,1.24443,0.89307,0.64647,0.72484,0.45201,1.43597,1.79359,1.34375,0.000665301,0.000665301,0.000665301
2,111.261,1.38368,1.17021,1.24865,0.8871,0.60879,0.71493,0.45027,1.42073,1.50948,1.30145,0.0012001,0.0012001,0.0012001
3,164.957,1.32382,1.03246,1.21647,0.90163,0.69456,0.79052,0.53006,1.2981,1.05568,1.20834,0.0016029,0.0016029,0.0016029
4,218.754,1.25857,0.90554,1.18105,0.88544,0.78033,0.85251,0.57318,1.19596,0.89563,1.19317,0.001406,0.001406,0.001406
5,272.081,1.19857,0.81186,1.16372,0.95927,0.82218,0.89723,0.61176,1.16397,0.74145,1.17633,0.001208,0.001208,0.001208
6,325.915,1.13896,0.72327,1.11895,0.95165,0.87448,0.92594,0.64888,1.08068,0.64818,1.1276,0.00101,0.00101,0.00101
7,379.638,1.08492,0.65459,1.0949,0.98038,0.88285,0.92456,0.65199,1.04635,0.64898,1.11766,0.000812,0.000812,0.000812
8,433.164,1.03124,0.60745,1.07433,0.98413,0.87866,0.94404,0.68863,0.96773,0.56264,1.05448,0.000614,0.000614,0.000614
9,486.799,0.9729,0.55612,1.04505,0.98312,0.90167,0.94626,0.70704,0.95018,0.53438,1.0671,0.000416,0.000416,0.000416
10,540.337,0.94483,0.52481,1.03212,0.98653,0.90795,0.95704,0.72442,0.91504,0.49546,1.02756,0.000218,0.000218,0.000218
